episode,reward
1.050000000000000000e+02,6.100000000000001421e+00
1.060000000000000000e+02,2.235231911462836152e+01
1.070000000000000000e+02,2.596516398918717883e+01
1.080000000000000000e+02,1.796515383490131867e+01
1.090000000000000000e+02,2.335355450236967201e+01
1.100000000000000000e+02,2.658182932294744560e+01
1.110000000000000000e+02,1.108626509794030923e+01
1.120000000000000000e+02,2.354525382358813701e+01
1.130000000000000000e+02,2.335355450236967556e+01
1.140000000000000000e+02,7.866666666666668917e+00
1.150000000000000000e+02,1.231311216429707223e+01
1.160000000000000000e+02,1.466901965085690662e+01
1.170000000000000000e+02,2.295320383660271801e+01
1.180000000000000000e+02,9.620215769410707551e+00
1.190000000000000000e+02,2.228153349268925965e+01
1.200000000000000000e+02,9.849919043291091469e+00
1.210000000000000000e+02,1.790026173973565804e+01
1.220000000000000000e+02,8.486445497620223932e+00
1.230000000000000000e+02,2.335292727283278325e+01
1.240000000000000000e+02,2.056485494480538989e+01
1.250000000000000000e+02,3.620174990796627856e+00
1.260000000000000000e+02,2.358017567521115865e+01
1.270000000000000000e+02,2.393208991698991639e+01
1.280000000000000000e+02,5.365853867051721515e+00
1.290000000000000000e+02,1.226603786216629821e+01
1.300000000000000000e+02,2.432871505038107074e+01
1.310000000000000000e+02,2.681163496781235978e+01
1.320000000000000000e+02,1.137823074678074242e+01
1.330000000000000000e+02,2.231975892976474540e+01
1.340000000000000000e+02,1.211960398905041103e+01
1.350000000000000000e+02,2.259883628423589030e+01
1.360000000000000000e+02,2.125230905376209023e+01
1.370000000000000000e+02,2.281896111443701258e+01
1.380000000000000000e+02,2.057916222007244755e+01
1.390000000000000000e+02,2.523549385502623821e+01
1.400000000000000000e+02,2.421082302275567599e+01
1.410000000000000000e+02,1.296604318798170929e+01
1.420000000000000000e+02,1.866301135274944301e+01
1.430000000000000000e+02,6.397337143890566402e+00
1.440000000000000000e+02,2.352021596669330350e+01
1.450000000000000000e+02,2.468688783543517928e+01
1.460000000000000000e+02,5.782091835753767839e+00
1.470000000000000000e+02,2.440000080052941200e+01
1.480000000000000000e+02,1.635278249363155822e+01
1.490000000000000000e+02,2.468537005145291019e+01
1.500000000000000000e+02,4.686536474349217940e+00
1.510000000000000000e+02,2.338641570583751417e+01
1.520000000000000000e+02,6.685868722763705030e+00
1.530000000000000000e+02,1.601311216429699869e+01
1.540000000000000000e+02,2.437849473191820593e+01
1.550000000000000000e+02,1.094550574204916416e+01
1.560000000000000000e+02,5.353547634370400488e+00
1.570000000000000000e+02,2.514883389347856024e+01
1.580000000000000000e+02,1.804649775695510527e+01
1.590000000000000000e+02,2.583184551643319082e+01
1.600000000000000000e+02,2.351870864450513565e+01
1.610000000000000000e+02,2.245309146433461223e+01
1.620000000000000000e+02,2.511898261999570181e+01
1.630000000000000000e+02,2.355308333196606796e+01
1.640000000000000000e+02,1.173004818234633007e+01
1.650000000000000000e+02,2.431902251737502141e+01
1.660000000000000000e+02,1.771202853387688236e+01
1.670000000000000000e+02,2.281933664162480113e+01
1.680000000000000000e+02,1.844800946192168212e+01
1.690000000000000000e+02,2.442022116903633489e+01
1.700000000000000000e+02,2.482022116903633702e+01
1.710000000000000000e+02,9.486213293803475111e+00
1.720000000000000000e+02,2.175355379472864570e+01
1.730000000000000000e+02,1.366666860501253034e+01
1.740000000000000000e+02,9.753513498962556483e+00
1.750000000000000000e+02,2.388329627318925574e+01
1.760000000000000000e+02,2.334520515248400230e+01
1.770000000000000000e+02,2.505025705347935983e+01
1.780000000000000000e+02,2.295355450236967343e+01
1.790000000000000000e+02,2.265309208492674742e+01
1.800000000000000000e+02,1.919937729001155091e+01
1.810000000000000000e+02,2.478473683595340660e+01
1.820000000000000000e+02,2.288688105979934662e+01
1.830000000000000000e+02,1.801897495394277726e+01
1.840000000000000000e+02,2.500064547332651799e+01
1.850000000000000000e+02,8.820220461363602382e+00
1.860000000000000000e+02,1.886314971977520116e+01
1.870000000000000000e+02,2.558341455479265036e+01
1.880000000000000000e+02,2.046867562953852726e+01
1.890000000000000000e+02,2.191959767940645065e+01
1.900000000000000000e+02,2.301990716654103863e+01
1.910000000000000000e+02,4.530671264138104171e+00
1.920000000000000000e+02,2.601959888645738772e+01
1.930000000000000000e+02,2.195355450236966632e+01
1.940000000000000000e+02,2.455355450236966774e+01
1.950000000000000000e+02,2.288537684771558745e+01
1.960000000000000000e+02,2.306797179308271240e+01
1.970000000000000000e+02,2.551814836978142864e+01
1.980000000000000000e+02,2.335293211616411213e+01
1.990000000000000000e+02,2.491249632230782041e+01
2.000000000000000000e+02,2.194968952824436670e+01
2.010000000000000000e+02,2.391745243257148701e+01
2.020000000000000000e+02,7.013112178184118584e+00
2.030000000000000000e+02,2.471668606611122243e+01
2.040000000000000000e+02,2.188688783546272987e+01
2.050000000000000000e+02,2.408314036329593577e+01
