episode,reward
0.000000000000000000e+00,9.832802472354059020e+00
1.000000000000000000e+00,6.134691776380557293e+00
2.000000000000000000e+00,7.246796175696472275e+00
3.000000000000000000e+00,1.361284987748827824e+01
4.000000000000000000e+00,6.018363056326311522e+00
5.000000000000000000e+00,2.765465357980372296e+00
6.000000000000000000e+00,4.981826953079127485e+00
7.000000000000000000e+00,1.626442978804479012e+01
8.000000000000000000e+00,7.414258948526062376e+00
9.000000000000000000e+00,6.586887730247682704e+00
1.000000000000000000e+01,1.979667363468284202e+00
1.100000000000000000e+01,9.081813020228551636e+00
1.200000000000000000e+01,7.444505082246884342e+00
1.300000000000000000e+01,2.979354294769780864e+00
1.400000000000000000e+01,1.071511221326334073e+01
1.500000000000000000e+01,8.346167464592506136e+00
1.600000000000000000e+01,1.128422037556476809e+01
1.700000000000000000e+01,1.915775034293552670e+00
1.800000000000000000e+01,4.748260379705679490e+00
1.900000000000000000e+01,1.795265484192083605e+01
2.000000000000000000e+01,3.912536059957772760e+00
2.100000000000000000e+01,5.769289425621458633e+00
2.200000000000000000e+01,7.878213568347274709e+00
2.300000000000000000e+01,7.167017318787324065e+00
2.400000000000000000e+01,1.237930673662251557e+01
2.500000000000000000e+01,1.781819418385262255e+00
2.600000000000000000e+01,1.762805237649905621e+01
2.700000000000000000e+01,1.153204250814294518e+01
2.800000000000000000e+01,5.163731738802772142e+00
2.900000000000000000e+01,7.279312377673837098e+00
3.000000000000000000e+01,6.752606885359559996e+00
3.100000000000000000e+01,2.481959733312609728e+01
3.200000000000000000e+01,9.664004583616030430e+00
3.300000000000000000e+01,1.233363158874272969e+01
3.400000000000000000e+01,1.815775034293553025e+00
3.500000000000000000e+01,1.541854441337561532e+01
3.600000000000000000e+01,6.845361162379126618e+00
3.700000000000000000e+01,6.179778936418983903e+00
3.800000000000000000e+01,8.419776637363709071e+00
3.900000000000000000e+01,7.833176188775143878e+00
4.000000000000000000e+01,2.279362770141792005e+00
4.100000000000000000e+01,3.679044638576596249e+00
4.200000000000000000e+01,2.454636461656502178e+01
4.300000000000000000e+01,1.106310824959378536e+01
4.400000000000000000e+01,1.916502109634125972e+01
4.500000000000000000e+01,1.488250928700810150e+01
4.600000000000000000e+01,9.812226293506379093e+00
4.700000000000000000e+01,2.019667056173686248e+00
4.800000000000000000e+01,1.699378051675284107e+00
4.900000000000000000e+01,1.666671272556401817e+01
5.000000000000000000e+01,1.834515579347116088e+01
5.100000000000000000e+01,1.865040603450109691e+00
5.200000000000000000e+01,1.891915413509573796e+01
5.300000000000000000e+01,6.615306728033218064e+00
5.400000000000000000e+01,1.873275905201444047e+01
5.500000000000000000e+01,2.344913992437335182e+01
5.600000000000000000e+01,2.143349962040302259e+01
5.700000000000000000e+01,1.662022105525330318e+01
5.800000000000000000e+01,2.748486085051928818e+00
5.900000000000000000e+01,6.266051610628258217e+00
6.000000000000000000e+01,1.654559867659710903e+01
6.100000000000000000e+01,3.432710610238158822e+00
6.200000000000000000e+01,2.550931729527756708e+00
6.300000000000000000e+01,2.202022116903633631e+01
6.400000000000000000e+01,2.148688263362730311e+01
6.500000000000000000e+01,1.475350912469046172e+01
6.600000000000000000e+01,2.275000403070843902e+01
6.700000000000000000e+01,1.264649167769878702e+01
6.800000000000000000e+01,2.028688783570299847e+01
6.900000000000000000e+01,2.208688783570300274e+01
7.000000000000000000e+01,2.035355450236959740e+01
7.100000000000000000e+01,2.198688176850498266e+01
7.200000000000000000e+01,2.125324655529243856e+01
7.300000000000000000e+01,2.053599620332989062e+01
7.400000000000000000e+01,2.228688783570300558e+01
7.500000000000000000e+01,2.268654325057116949e+01
7.600000000000000000e+01,2.088657988862577497e+01
7.700000000000000000e+01,2.215355450236966917e+01
7.800000000000000000e+01,2.065355450236549473e+01
7.900000000000000000e+01,2.052022115698139970e+01
8.000000000000000000e+01,2.202022116903633631e+01
8.100000000000000000e+01,2.258658081008595175e+01
8.200000000000000000e+01,2.055355450236966064e+01
8.300000000000000000e+01,2.088688184671356396e+01
8.400000000000000000e+01,2.055355450236967130e+01
8.500000000000000000e+01,2.291991252820423242e+01
8.600000000000000000e+01,2.075355450236967059e+01
8.700000000000000000e+01,2.081987130382988482e+01
8.800000000000000000e+01,2.118658254888440595e+01
8.900000000000000000e+01,2.202022116903633631e+01
9.000000000000000000e+01,2.215355450236966917e+01
9.100000000000000000e+01,2.062022106331872706e+01
9.200000000000000000e+01,1.978688783567128695e+01
9.300000000000000000e+01,1.733333333333333171e+00
