episode,reward
0.000000000000000000e+00,6.663770780363551971e+00
1.000000000000000000e+00,6.432447138430363864e+00
2.000000000000000000e+00,7.390825521634555528e+00
3.000000000000000000e+00,6.251506815359583413e+00
4.000000000000000000e+00,9.772531118629173008e+00
5.000000000000000000e+00,7.440741318450778685e+00
6.000000000000000000e+00,9.054650988159590241e+00
7.000000000000000000e+00,7.598565703863930487e+00
8.000000000000000000e+00,5.760502743832582873e+00
9.000000000000000000e+00,8.546917934507121117e+00
1.000000000000000000e+01,1.174140265913129966e+01
1.100000000000000000e+01,9.872731118235389403e+00
1.200000000000000000e+01,6.790386144982043959e+00
1.300000000000000000e+01,7.852227343419182937e+00
1.400000000000000000e+01,1.424179850378121515e+01
1.500000000000000000e+01,8.196230029709075993e+00
1.600000000000000000e+01,7.517250508809420140e+00
1.700000000000000000e+01,7.856971596977236239e+00
1.800000000000000000e+01,8.055336431156810306e+00
1.900000000000000000e+01,9.569703364249555477e+00
2.000000000000000000e+01,8.742638254657780550e+00
2.100000000000000000e+01,6.546019889506673906e+00
2.200000000000000000e+01,1.134824037052865364e+01
2.300000000000000000e+01,1.119480313556191042e+01
2.400000000000000000e+01,8.405325315486056326e+00
2.500000000000000000e+01,9.087492996658555811e+00
2.600000000000000000e+01,9.756532321852485978e+00
2.700000000000000000e+01,1.327580189893241958e+01
2.800000000000000000e+01,9.318837708319502866e+00
2.900000000000000000e+01,1.241061132228321462e+01
3.000000000000000000e+01,1.421105221878258718e+01
3.100000000000000000e+01,1.130229587382799750e+01
3.200000000000000000e+01,1.425639941167339586e+01
3.300000000000000000e+01,1.190502918708794766e+01
3.400000000000000000e+01,1.108204619661333368e+01
3.500000000000000000e+01,1.416173282644327891e+01
3.600000000000000000e+01,1.449280521742405448e+01
3.700000000000000000e+01,1.005842129566300613e+01
3.800000000000000000e+01,1.700031544125855731e+01
3.900000000000000000e+01,1.553216640355997846e+01
4.000000000000000000e+01,1.351833523287616323e+01
4.100000000000000000e+01,1.439780866091166800e+01
4.200000000000000000e+01,1.844237552776044708e+01
4.300000000000000000e+01,1.747693139832203002e+01
4.400000000000000000e+01,1.409312825884997622e+01
4.500000000000000000e+01,1.207110604294944167e+01
4.600000000000000000e+01,1.283058696388536646e+01
4.700000000000000000e+01,1.486534028155005061e+01
4.800000000000000000e+01,1.358813006966507864e+01
4.900000000000000000e+01,1.221626565078743809e+01
5.000000000000000000e+01,1.550733583202264398e+01
5.100000000000000000e+01,1.382677657238346569e+01
5.200000000000000000e+01,1.275198105004943905e+01
5.300000000000000000e+01,1.284927521673970752e+01
5.400000000000000000e+01,1.504430263588003847e+01
5.500000000000000000e+01,1.785872838573853016e+01
5.600000000000000000e+01,1.689053698177968243e+01
5.700000000000000000e+01,1.688268794227662539e+01
5.800000000000000000e+01,1.695316352770976920e+01
5.900000000000000000e+01,1.635546602420437523e+01
6.000000000000000000e+01,1.383460289471973326e+01
6.100000000000000000e+01,1.301806065369515863e+01
6.200000000000000000e+01,1.987075921119454591e+01
6.300000000000000000e+01,1.321135952717159157e+01
6.400000000000000000e+01,1.659873709570091194e+01
6.500000000000000000e+01,1.917271898016995380e+01
6.600000000000000000e+01,1.686748815165876891e+01
6.700000000000000000e+01,1.771895855467888126e+01
6.800000000000000000e+01,1.891944296552895111e+01
6.900000000000000000e+01,1.464206607284585893e+01
7.000000000000000000e+01,1.808075921260449093e+01
7.100000000000000000e+01,1.655531077300708986e+01
7.200000000000000000e+01,1.840951018865997213e+01
7.300000000000000000e+01,1.684075459478015802e+01
7.400000000000000000e+01,1.392004823205042463e+01
