episode,reward
0.000000000000000000e+00,5.913368090730620530e+00
1.000000000000000000e+00,6.907738130577034674e+00
2.000000000000000000e+00,8.342445479953571663e+00
3.000000000000000000e+00,6.992534345420123643e+00
4.000000000000000000e+00,7.368983435773396984e+00
5.000000000000000000e+00,6.645122271756412680e+00
6.000000000000000000e+00,5.227898679406875360e+00
7.000000000000000000e+00,8.610793206228700924e+00
8.000000000000000000e+00,7.028671055497441422e+00
9.000000000000000000e+00,8.195947295264796040e+00
1.000000000000000000e+01,8.251088424021856937e+00
1.100000000000000000e+01,7.026428980752469577e+00
1.200000000000000000e+01,8.939905756112365154e+00
1.300000000000000000e+01,7.682384773279136603e+00
1.400000000000000000e+01,7.240289105826434479e+00
1.500000000000000000e+01,7.146328137144679182e+00
1.600000000000000000e+01,6.621679682551517843e+00
1.700000000000000000e+01,8.058604644174446108e+00
1.800000000000000000e+01,1.230483880612317904e+01
1.900000000000000000e+01,8.434267607301823233e+00
2.000000000000000000e+01,7.739872381954512548e+00
2.100000000000000000e+01,8.301154161312041424e+00
2.200000000000000000e+01,9.271441994983440793e+00
2.300000000000000000e+01,7.199401233409537859e+00
2.400000000000000000e+01,9.742915166812160521e+00
2.500000000000000000e+01,7.851543161745200727e+00
2.600000000000000000e+01,8.059479457507967126e+00
2.700000000000000000e+01,5.943584507113032878e+00
2.800000000000000000e+01,8.597195703219963292e+00
2.900000000000000000e+01,8.750388492719025635e+00
3.000000000000000000e+01,7.630261280386054779e+00
3.100000000000000000e+01,6.004993740889353226e+00
3.200000000000000000e+01,5.399863761210269786e+00
3.300000000000000000e+01,7.536861788800902850e+00
3.400000000000000000e+01,7.204857560886032353e+00
3.500000000000000000e+01,7.889077966954922694e+00
3.600000000000000000e+01,8.457145500584234199e+00
3.700000000000000000e+01,9.894850574219335115e+00
3.800000000000000000e+01,7.713481267589935797e+00
3.900000000000000000e+01,8.637014953649273963e+00
4.000000000000000000e+01,1.128880335560129211e+01
4.100000000000000000e+01,1.143714398093413465e+01
4.200000000000000000e+01,9.270857373467837448e+00
4.300000000000000000e+01,1.211196390930738964e+01
4.400000000000000000e+01,1.055465517441934864e+01
4.500000000000000000e+01,1.231908202800143037e+01
4.600000000000000000e+01,1.023794884598402177e+01
4.700000000000000000e+01,1.584596150282507665e+01
4.800000000000000000e+01,1.568454154426460256e+01
4.900000000000000000e+01,1.173897176309379020e+01
5.000000000000000000e+01,1.552410389531552681e+01
5.100000000000000000e+01,1.535423968570687414e+01
5.200000000000000000e+01,1.076317008952080023e+01
5.300000000000000000e+01,1.456049731138314307e+01
5.400000000000000000e+01,1.463205630526604573e+01
5.500000000000000000e+01,1.547205903179641240e+01
5.600000000000000000e+01,1.307960024815525202e+01
5.700000000000000000e+01,1.559610326560367710e+01
5.800000000000000000e+01,1.300000258262881836e+01
5.900000000000000000e+01,1.670364402409589744e+01
6.000000000000000000e+01,1.393805199778239512e+01
6.100000000000000000e+01,1.744838492998442092e+01
6.200000000000000000e+01,1.290449479675278255e+01
6.300000000000000000e+01,1.288898598963429620e+01
6.400000000000000000e+01,1.442586624539231366e+01
6.500000000000000000e+01,1.608187235674138904e+01
6.600000000000000000e+01,1.802324381265482955e+01
6.700000000000000000e+01,1.582991088460313556e+01
6.800000000000000000e+01,1.550191911232861486e+01
6.900000000000000000e+01,1.750236966917225345e+01
7.000000000000000000e+01,1.572675453394673717e+01
7.100000000000000000e+01,1.656576244281217924e+01
7.200000000000000000e+01,1.720149552395973913e+01
7.300000000000000000e+01,1.674266567182362664e+01
7.400000000000000000e+01,1.988419167983148839e+01
7.500000000000000000e+01,1.766371739416539910e+01
7.600000000000000000e+01,2.006196986301494078e+01
7.700000000000000000e+01,1.938314001087859140e+01
7.800000000000000000e+01,1.950740653227920518e+01
7.900000000000000000e+01,1.866371775413809075e+01
8.000000000000000000e+01,1.849530279001468358e+01
8.100000000000000000e+01,1.871260663507109356e+01
8.200000000000000000e+01,1.792951067396752407e+01
8.300000000000000000e+01,1.499879936808847170e+01
8.400000000000000000e+01,1.864194265726334976e+01
8.500000000000000000e+01,1.977770253783126364e+01
8.600000000000000000e+01,1.895308056872038094e+01
8.700000000000000000e+01,2.113133228014744702e+01
8.800000000000000000e+01,2.157350990891136533e+01
8.900000000000000000e+01,1.997442864665613627e+01
9.000000000000000000e+01,2.034466560644831290e+01
9.100000000000000000e+01,2.141577672459188975e+01
9.200000000000000000e+01,1.814775890143987880e+01
9.300000000000000000e+01,1.991799894588831066e+01
9.400000000000000000e+01,1.650591966921988885e+01
9.500000000000000000e+01,1.996212645247055661e+01
9.600000000000000000e+01,1.945559919980353669e+01
9.700000000000000000e+01,1.958196986301493681e+01
9.800000000000000000e+01,2.052998425467235677e+01
9.900000000000000000e+01,2.146466561348053759e+01
1.000000000000000000e+02,1.716284360189573732e+01
1.010000000000000000e+02,1.710596026758896215e+01
1.020000000000000000e+02,1.945887309110057828e+01
1.030000000000000000e+02,2.104242002043103454e+01
1.040000000000000000e+02,2.050776197998947126e+01
1.050000000000000000e+02,1.877530279094260379e+01
1.060000000000000000e+02,1.771278108118821493e+01
1.070000000000000000e+02,2.137577672459189060e+01
1.080000000000000000e+02,2.094789798973081218e+01
1.090000000000000000e+02,1.716728799295342611e+01
1.100000000000000000e+02,1.987577626580157641e+01
1.110000000000000000e+02,1.937986572132814800e+01
1.120000000000000000e+02,2.131355444989270609e+01
1.130000000000000000e+02,1.953887348947589686e+01
1.140000000000000000e+02,1.975393138878377997e+01
1.150000000000000000e+02,1.974758218746525884e+01
1.160000000000000000e+02,1.873905021022732953e+01
1.170000000000000000e+02,2.042776192661876777e+01
1.180000000000000000e+02,1.808728496871667346e+01
1.190000000000000000e+02,2.091202628001058983e+01
1.200000000000000000e+02,1.836286697870401952e+01
1.210000000000000000e+02,1.925460309277297810e+01
1.220000000000000000e+02,2.012998420221168772e+01
1.230000000000000000e+02,2.040536263840058240e+01
1.240000000000000000e+02,1.687068082183168727e+01
1.250000000000000000e+02,1.901442783677060433e+01
1.260000000000000000e+02,1.803590390398006704e+01
1.270000000000000000e+02,1.978641390205367756e+01
1.280000000000000000e+02,1.900641390205371195e+01
1.290000000000000000e+02,1.480901336255283063e+01
1.300000000000000000e+02,1.785705148492120742e+01
1.310000000000000000e+02,1.910951026671078878e+01
1.320000000000000000e+02,1.675308056777851462e+01
1.330000000000000000e+02,1.833413183929796730e+01
1.340000000000000000e+02,1.783839915745128835e+01
1.350000000000000000e+02,1.669924381029198912e+01
1.360000000000000000e+02,1.748593996840442344e+01
1.370000000000000000e+02,2.154331794095070052e+01
1.380000000000000000e+02,1.709705107951553771e+01
1.390000000000000000e+02,2.056865950200979043e+01
1.400000000000000000e+02,1.673260662804073462e+01
1.410000000000000000e+02,1.926109530629245015e+01
1.420000000000000000e+02,1.845425111495934445e+01
1.430000000000000000e+02,2.096998420221169468e+01
1.440000000000000000e+02,2.043795819425429272e+01
1.450000000000000000e+02,2.050017965405704601e+01
1.460000000000000000e+02,1.825191001545078251e+01
1.470000000000000000e+02,1.892980667754501312e+01
1.480000000000000000e+02,1.741085834463048698e+01
1.490000000000000000e+02,1.879530284432907905e+01
